,label,filename,filepath
0,Abstract Expressionism,Abstract Expressionism_aug_0_1.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1.jpeg
1,Abstract Expressionism,Abstract Expressionism_aug_0_1005.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1005.jpeg
2,Abstract Expressionism,Abstract Expressionism_aug_0_1009.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1009.jpeg
3,Abstract Expressionism,Abstract Expressionism_aug_0_1012.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1012.jpeg
4,Abstract Expressionism,Abstract Expressionism_aug_0_1019.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1019.jpeg
5,Abstract Expressionism,Abstract Expressionism_aug_0_1040.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1040.jpeg
6,Abstract Expressionism,Abstract Expressionism_aug_0_1046.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1046.jpeg
7,Abstract Expressionism,Abstract Expressionism_aug_0_1065.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1065.jpeg
8,Abstract Expressionism,Abstract Expressionism_aug_0_1079.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1079.jpeg
9,Abstract Expressionism,Abstract Expressionism_aug_0_1088.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1088.jpeg
10,Abstract Expressionism,Abstract Expressionism_aug_0_1093.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1093.jpeg
11,Abstract Expressionism,Abstract Expressionism_aug_0_1097.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1097.jpeg
12,Abstract Expressionism,Abstract Expressionism_aug_0_1099.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1099.jpeg
13,Abstract Expressionism,Abstract Expressionism_aug_0_1110.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1110.jpeg
14,Abstract Expressionism,Abstract Expressionism_aug_0_1116.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1116.jpeg
15,Abstract Expressionism,Abstract Expressionism_aug_0_1137.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1137.jpeg
16,Abstract Expressionism,Abstract Expressionism_aug_0_1153.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1153.jpeg
17,Abstract Expressionism,Abstract Expressionism_aug_0_1154.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1154.jpeg
18,Abstract Expressionism,Abstract Expressionism_aug_0_1178.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1178.jpeg
19,Abstract Expressionism,Abstract Expressionism_aug_0_1197.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1197.jpeg
20,Abstract Expressionism,Abstract Expressionism_aug_0_1202.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1202.jpeg
21,Abstract Expressionism,Abstract Expressionism_aug_0_1235.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1235.jpeg
22,Abstract Expressionism,Abstract Expressionism_aug_0_1264.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1264.jpeg
23,Abstract Expressionism,Abstract Expressionism_aug_0_1267.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1267.jpeg
24,Abstract Expressionism,Abstract Expressionism_aug_0_127.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_127.jpeg
25,Abstract Expressionism,Abstract Expressionism_aug_0_1271.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1271.jpeg
26,Abstract Expressionism,Abstract Expressionism_aug_0_1287.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1287.jpeg
27,Abstract Expressionism,Abstract Expressionism_aug_0_129.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_129.jpeg
28,Abstract Expressionism,Abstract Expressionism_aug_0_1317.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1317.jpeg
29,Abstract Expressionism,Abstract Expressionism_aug_0_1345.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1345.jpeg
30,Abstract Expressionism,Abstract Expressionism_aug_0_135.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_135.jpeg
31,Abstract Expressionism,Abstract Expressionism_aug_0_1354.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1354.jpeg
32,Abstract Expressionism,Abstract Expressionism_aug_0_1355.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1355.jpeg
33,Abstract Expressionism,Abstract Expressionism_aug_0_136.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_136.jpeg
34,Abstract Expressionism,Abstract Expressionism_aug_0_1360.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1360.jpeg
35,Abstract Expressionism,Abstract Expressionism_aug_0_1370.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1370.jpeg
36,Abstract Expressionism,Abstract Expressionism_aug_0_1383.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1383.jpeg
37,Abstract Expressionism,Abstract Expressionism_aug_0_1391.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1391.jpeg
38,Abstract Expressionism,Abstract Expressionism_aug_0_1393.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1393.jpeg
39,Abstract Expressionism,Abstract Expressionism_aug_0_1396.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1396.jpeg
40,Abstract Expressionism,Abstract Expressionism_aug_0_1409.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1409.jpeg
41,Abstract Expressionism,Abstract Expressionism_aug_0_1412.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1412.jpeg
42,Abstract Expressionism,Abstract Expressionism_aug_0_1426.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1426.jpeg
43,Abstract Expressionism,Abstract Expressionism_aug_0_144.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_144.jpeg
44,Abstract Expressionism,Abstract Expressionism_aug_0_1455.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1455.jpeg
45,Abstract Expressionism,Abstract Expressionism_aug_0_1459.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1459.jpeg
46,Abstract Expressionism,Abstract Expressionism_aug_0_1460.jpeg,../train_images\Abstract Expressionism\Abstract Expressionism_aug_0_1460.jpeg
